LINE,X,Y
1,-76247.94,6622948.74
1,-76247.94,6622998.74
1,-76247.94,6623048.74
1,-76247.94,6623098.74
1,-76247.94,6623148.74
1,-76247.94,6623198.74
1,-76247.94,6623248.74
1,-76247.94,6623298.74
1,-76247.94,6623348.74
1,-76247.94,6623398.74
1,-76247.94,6623448.74
1,-76247.94,6623498.74
1,-76247.94,6623548.74
1,-76247.94,6623598.74
1,-76247.94,6623648.74
1,-76247.94,6623698.74
1,-76247.94,6623748.74
1,-76247.94,6623798.74
1,-76247.94,6623848.74
1,-76247.94,6623898.74
1,-76247.94,6623948.74
1,-76247.94,6623998.74
1,-76247.94,6624048.74
1,-76247.94,6624098.74
1,-76247.94,6624148.74
1,-76247.94,6624198.74
1,-76247.94,6624248.74
1,-76247.94,6624298.74
1,-76247.94,6624348.74
1,-76247.94,6624398.74
1,-76247.94,6624448.74
1,-76247.94,6624498.74
1,-76247.94,6624548.74
1,-76247.94,6624598.74
1,-76247.94,6624648.74
1,-76247.94,6624698.74
1,-76247.94,6624748.74
1,-76247.94,6624798.74
1,-76247.94,6624848.74
1,-76247.94,6624898.74
1,-76247.94,6624948.74
1,-76247.94,6624998.74
1,-76247.94,6625048.74
1,-76247.94,6625098.74
1,-76247.94,6625148.74
1,-76247.94,6625198.74
1,-76247.94,6625248.74
1,-76247.94,6625298.74
1,-76247.94,6625348.74
1,-76247.94,6625398.74
1,-76247.94,6625448.74
1,-76247.94,6625498.74
1,-76247.94,6625548.74
1,-76247.94,6625598.74
1,-76247.94,6625648.74
1,-76247.94,6625698.74
1,-76247.94,6625748.74
1,-76247.94,6625798.74
1,-76247.94,6625848.74
1,-76247.94,6625898.74
1,-76247.94,6625948.74
1,-76247.94,6625998.74
1,-76247.94,6626048.74
1,-76247.94,6626098.74
1,-76247.94,6626148.74
1,-76247.94,6626198.74
1,-76247.94,6626248.74
1,-76247.94,6626298.74
1,-76247.94,6626348.74
1,-76247.94,6626398.74
1,-76247.94,6626448.74
1,-76247.94,6626498.74
1,-76247.94,6626548.74
1,-76247.94,6626598.74
1,-76247.94,6626648.74
1,-76247.94,6626698.74
1,-76247.94,6626748.74
1,-76247.94,6626798.74
1,-76247.94,6626848.74
1,-76247.94,6626898.74
1,-76247.94,6626948.74
1,-76247.94,6626998.74
1,-76247.94,6627048.74
1,-76247.94,6627098.74
1,-76247.94,6627148.74
1,-76247.94,6627198.74
1,-76247.94,6627248.74
1,-76247.94,6627298.74
1,-76247.94,6627348.74
1,-76247.94,6627398.74
1,-76247.94,6627448.74
1,-76247.94,6627498.74
1,-76247.94,6627548.74
1,-76247.94,6627598.74
1,-76247.94,6627648.74
1,-76247.94,6627698.74
1,-76247.94,6627748.74
1,-76247.94,6627798.74
1,-76247.94,6627848.74
1,-76247.94,6627898.74
1,-76247.94,6627948.74
1,-76247.94,6627998.74
1,-76247.94,6628048.74
1,-76247.94,6628098.74
1,-76247.94,6628148.74
1,-76247.94,6628198.74
2,-75747.94,6624841.74
2,-75747.94,6624791.74
2,-75747.94,6624741.74
2,-75747.94,6624691.74
2,-75747.94,6624641.74
2,-75747.94,6624591.74
2,-75747.94,6624541.74
