Line,XCo_m,YCo_m
9270,789027.211,1920529.273
9270,789027.37,1920535.47
9270,789027.518,1920541.668
9270,789027.666,1920547.866
9270,789027.814,1920554.064
9270,789027.962,1920560.262
9270,789028.11,1920566.46
9270,789028.258,1920572.658
9270,789028.406,1920578.856
9270,789028.554,1920585.054
9270,789028.702,1920591.252
9270,789028.85,1920597.45
9270,789028.981,1920603.647
9270,789029.112,1920609.844
9270,789029.243,1920616.041
9270,789029.374,1920622.238
9270,789029.505,1920628.435
9270,789029.636,1920634.632
9270,789029.767,1920640.829
9270,789029.898,1920647.026
9270,789030.029,1920653.223
9270,789030.16,1920659.42
9270,789030.259,1920665.614
9270,789030.358,1920671.808
9270,789030.457,1920678.002
9270,789030.556,1920684.196
9270,789030.655,1920690.39
9270,789030.754,1920696.584
9270,789030.853,1920702.778
9270,789030.952,1920708.972
9270,789031.051,1920715.166
9270,789031.15,1920721.36
9270,789031.206,1920727.547
9270,789031.262,1920733.734
9270,789031.318,1920739.921
9270,789031.374,1920746.108
9270,789031.43,1920752.295
9270,789031.486,1920758.482
9270,789031.542,1920764.669
9270,789031.598,1920770.856
9270,789031.654,1920777.043
9270,789031.71,1920783.23
9270,789031.724,1920789.408
9270,789031.738,1920795.586
9270,789031.752,1920801.764
9270,789031.766,1920807.942
9270,789031.78,1920814.12
9270,789031.794,1920820.298
9270,789031.808,1920826.476
9270,789031.822,1920832.654
9270,789031.836,1920838.832
9270,789031.85,1920845.01
9270,789031.85,1920851.178
9270,789031.85,1920857.346
9270,789031.85,1920863.514
9270,789031.85,1920869.682
9270,789031.85,1920875.85
9270,789031.85,1920882.018
9270,789031.85,1920888.186
9270,789031.85,1920894.354
9270,789031.85,1920900.522
9270,789031.85,1920906.69
9270,789031.854,1920912.855
9270,789031.858,1920919.02
9270,789031.862,1920925.185
9270,789031.866,1920931.35
9270,789031.87,1920937.515
9270,789031.874,1920943.68
9270,789031.878,1920949.845
9270,789031.882,1920956.01
9270,789031.886,1920962.175
9270,789031.89,1920968.34
9270,789031.908,1920974.499
9270,789031.926,1920980.658
9270,789031.944,1920986.817
9270,789031.962,1920992.976
9270,789031.98,1920999.135
9270,789031.998,1921005.294
9270,789032.016,1921011.453
9270,789032.034,1921017.612
9270,789032.052,1921023.771
9270,789032.07,1921029.93
9270,789032.106,1921036.089
9270,789032.142,1921042.248
9270,789032.178,1921048.407
9270,789032.214,1921054.566
9270,789032.25,1921060.725
9270,789032.286,1921066.884
9270,789032.322,1921073.043
9270,789032.358,1921079.202
9270,789032.394,1921085.361
9270,789032.43,1921091.52
9270,789032.47,1921097.674
9270,789032.51,1921103.828
9270,789032.55,1921109.982
9270,789032.59,1921116.136
9270,789032.63,1921122.29
9270,789032.67,1921128.444
9270,789032.71,1921134.598
9270,789032.75,1921140.752
9270,789032.79,1921146.906
9270,789032.83,1921153.06
9270,789032.863,1921159.21
9270,789032.896,1921165.36
9270,789032.929,1921171.51
9270,789032.962,1921177.66
9270,789032.995,1921183.81
9270,789033.028,1921189.96
9270,789033.061,1921196.11
9270,789033.094,1921202.26
9270,789033.127,1921208.41
9270,789033.16,1921214.56
9270,789033.183,1921220.704
9270,789033.206,1921226.848
9270,789033.229,1921232.992
9270,789033.252,1921239.136
9270,789033.275,1921245.28
9270,789033.298,1921251.424
9270,789033.321,1921257.568
9270,789033.344,1921263.712
9270,789033.367,1921269.856
9270,789033.39,1921276
9270,789033.389,1921282.139
9270,789033.388,1921288.278
9270,789033.387,1921294.417
9270,789033.386,1921300.556
9270,789033.385,1921306.695
9270,789033.384,1921312.834
9270,789033.383,1921318.973
9270,789033.382,1921325.112
9270,789033.381,1921331.251
9270,789033.38,1921337.39
9270,789033.356,1921343.525
9270,789033.332,1921349.66
9270,789033.308,1921355.795
9270,789033.284,1921361.93
9270,789033.26,1921368.065
9270,789033.236,1921374.2
9270,789033.212,1921380.335
9270,789033.188,1921386.47
9270,789033.164,1921392.605
9270,789033.14,1921398.74
9270,789033.103,1921404.878
9270,789033.066,1921411.016
9270,789033.029,1921417.154
9270,789032.992,1921423.292
9270,789032.955,1921429.43
9270,789032.918,1921435.568
9270,789032.881,1921441.706
9270,789032.844,1921447.844
9270,789032.807,1921453.982
9270,789032.77,1921460.12
9270,789032.73,1921466.26
9270,789032.69,1921472.4
9270,789032.65,1921478.54
9270,789032.61,1921484.68
9270,789032.57,1921490.82
9270,789032.53,1921496.96
9270,789032.49,1921503.1
9270,789032.45,1921509.24
9270,789032.41,1921515.38
9270,789032.37,1921521.52
9270,789032.336,1921527.656
9270,789032.302,1921533.792
9270,789032.268,1921539.928
9270,789032.234,1921546.064
9270,789032.2,1921552.2
9270,789032.166,1921558.336
9270,789032.132,1921564.472
9270,789032.098,1921570.608
9270,789032.064,1921576.744
9270,789032.03,1921582.88
9270,789032.024,1921589.008
9270,789032.018,1921595.136
9270,789032.012,1921601.264
9270,789032.006,1921607.392
9270,789032,1921613.52
9270,789031.994,1921619.648
9270,789031.988,1921625.776
9270,789031.982,1921631.904
9270,789031.976,1921638.032
9270,789031.97,1921644.16
9270,789031.981,1921650.278
9270,789031.992,1921656.396
9270,789032.003,1921662.514
9270,789032.014,1921668.632
9270,789032.025,1921674.75
9270,789032.036,1921680.868
