LINE,X,Y,LSYMB
2,-71965.29,6618284.62,102
2,-72001.86,6618318.72,102
2,-72038.42,6618352.82,102
2,-72074.99,6618386.92,102
2,-72111.56,6618421.02,102
2,-72148.13,6618455.12,102
2,-72184.69,6618489.22,102
2,-72221.26,6618523.32,102
2,-72257.83,6618557.42,102
2,-72294.40,6618591.52,102
2,-72330.97,6618625.62,102
2,-72367.53,6618659.72,102
2,-72404.10,6618693.82,102
2,-72440.67,6618727.92,102
2,-72477.24,6618762.02,102
2,-72513.80,6618796.12,102
2,-72550.37,6618830.22,102
2,-72586.94,6618864.32,102
2,-72623.51,6618898.42,102
2,-72660.07,6618932.52,102
2,-72696.64,6618966.62,102
2,-72733.21,6619000.72,102
2,-72769.78,6619034.82,102
2,-72806.35,6619068.92,102
2,-72842.91,6619103.02,102
2,-72879.48,6619137.12,102
2,-72916.05,6619171.22,102
2,-72952.62,6619205.32,102
2,-72989.18,6619239.42,102
2,-73025.75,6619273.52,102
2,-73062.32,6619307.62,102
2,-73098.89,6619341.72,102
2,-73135.45,6619375.82,102
2,-73172.02,6619409.92,102
2,-73208.59,6619444.02,102
2,-73245.16,6619478.12,102
2,-73281.73,6619512.22,102
2,-73318.29,6619546.32,102
2,-73354.86,6619580.42,102
2,-73391.43,6619614.52,102
2,-73428.00,6619648.62,102
2,-73464.56,6619682.72,102
2,-73501.13,6619716.82,102
2,-73537.70,6619750.92,102
2,-73574.27,6619785.02,102
2,-73610.83,6619819.12,102
2,-73647.40,6619853.22,102
2,-73683.97,6619887.32,102
2,-73720.54,6619921.42,102
2,-73757.11,6619955.52,102
2,-73793.67,6619989.62,102
2,-73830.24,6620023.72,102
2,-73866.81,6620057.82,102
2,-73903.38,6620091.92,102
2,-73939.94,6620126.02,102
2,-73976.51,6620160.12,102
2,-74013.08,6620194.22,102
2,-74049.65,6620228.32,102
2,-74086.21,6620262.42,102
2,-74122.78,6620296.52,102
2,-74159.35,6620330.62,102
2,-74195.92,6620364.72,102
2,-74232.49,6620398.82,102
2,-74269.05,6620432.92,102
2,-74305.62,6620467.02,102
2,-74342.19,6620501.12,102
2,-74378.76,6620535.22,102
2,-74415.32,6620569.31,102
2,-74451.89,6620603.41,102
2,-74488.46,6620637.51,102
2,-74525.03,6620671.61,102
2,-74561.59,6620705.71,102
2,-74598.16,6620739.81,102
2,-74634.73,6620773.91,102
2,-74671.30,6620808.01,102
